NumPoints = 750
X = -0.0482535    Y = 0.0141529    R = 1.41421
X = 0.848937    Y = 0.0262525    R = 0.00103855
X = -0.188665    Y = -0.858629    R = 0.00103713
X = 0.563017    Y = -0.384243    R = 0.00103608
X = 0.393548    Y = -0.139854    R = 0.00103454
X = -0.0957659    Y = -0.547036    R = 0.00102562
X = 0.220697    Y = -0.565125    R = 0.00101821
X = -0.793525    Y = 0.478286    R = 0.00101397
X = 0.962185    Y = 0.217063    R = 0.0011713
X = -0.629276    Y = -0.659438    R = 0.00101256
X = 0.855149    Y = 0.109834    R = 0.00128803
X = -0.436447    Y = -0.0700275    R = 0.0010119
X = 0.518883    Y = 0.0352329    R = 0.00116956
X = 0.854004    Y = 0.478227    R = 0.00100741
X = 0.45304    Y = -0.00148267    R = 0.00142083
X = -0.60658    Y = 0.617926    R = 0.00100665
X = 0.0365992    Y = 0.99692    R = 0.00100646
X = -0.0584028    Y = -0.0484642    R = 0.00100598
X = 0.578848    Y = -0.647119    R = 0.00100493
X = 0.94749    Y = 0.0921689    R = 0.00100406
X = -0.00497043    Y = -0.454548    R = 0.000997628
X = 0.0136697    Y = -0.671208    R = 0.000994938
X = -0.201752    Y = 0.662485    R = 0.000992599
X = -0.426552    Y = -0.72814    R = 0.000992218
X = -0.364045    Y = -0.410187    R = 0.000992098
X = -0.812182    Y = 0.384548    R = 0.000990076
X = -0.518972    Y = -0.112621    R = 0.00119267
X = 0.612768    Y = -0.25964    R = 0.000988573
X = 0.297853    Y = 0.649079    R = 0.000988436
X = -0.389304    Y = -0.77981    R = 0.000983388
X = 0.219337    Y = 0.905209    R = 0.000982938
X = 0.455769    Y = -0.523337    R = 0.000976287
X = 0.914376    Y = -0.181404    R = 0.000976261
X = 0.376197    Y = -0.789544    R = 0.000975299
X = -0.400178    Y = -0.604887    R = 0.000973197
X = -0.705382    Y = 0.489106    R = 0.000964944
X = 0.0541422    Y = -0.59742    R = 0.000955343
X = 0.0815154    Y = 0.484016    R = 0.000954985
X = -0.0275264    Y = 0.62712    R = 0.000950008
X = 0.625696    Y = 0.158825    R = 0.000948553
X = -0.343566    Y = 0.0154978    R = 0.00125578
X = 0.392813    Y = 0.336861    R = 0.000945039
X = 0.10837    Y = -0.256589    R = 0.000943949
X = 0.154484    Y = 0.421473    R = 0.000941859
X = 0.495166    Y = -0.809892    R = 0.000940401
X = -0.788293    Y = -0.0868421    R = 0.000939637
X = 0.701292    Y = -0.127867    R = 0.000932525
X = 0.137776    Y = -0.888874    R = 0.000931451
X = 0.280036    Y = -0.504797    R = 0.000925296
X = -0.67428    Y = -0.535301    R = 0.000917597
X = 0.905354    Y = 0.0486753    R = 0.000916794
X = 0.488733    Y = 0.155763    R = 0.000912941
X = 0.169564    Y = 0.786876    R = 0.000911834
X = 0.135617    Y = 0.510705    R = 0.000909801
X = 0.189348    Y = -0.692174    R = 0.000909676
X = -0.387508    Y = 0.112031    R = 0.000909635
X = 0.875691    Y = 0.208425    R = 0.00116715
X = -0.546268    Y = -0.426079    R = 0.000909528
X = 0.446123    Y = -0.637779    R = 0.000900866
X = 0.0370027    Y = -0.171718    R = 0.000897137
X = -0.219992    Y = -0.130056    R = 0.000920514
X = -0.709476    Y = -0.249043    R = 0.000896361
X = 0.116896    Y = -0.728076    R = 0.00089518
X = -0.000497997    Y = 0.734815    R = 0.000894913
X = 0.853875    Y = 0.280721    R = 0.000951303
X = 0.447017    Y = -0.888371    R = 0.000894904
X = -0.0234875    Y = -0.360759    R = 0.00175671
X = -0.442631    Y = -0.457537    R = 0.000892214
X = -0.757597    Y = -0.291624    R = 0.000889219
X = -0.336882    Y = -0.090791    R = 0.000887638
X = -0.303946    Y = -0.0377985    R = 0.00091497
X = 0.233891    Y = 0.692002    R = 0.000886693
X = -0.713418    Y = 0.283007    R = 0.000886291
X = 0.771786    Y = 0.124081    R = 0.000885766
X = 0.964856    Y = -0.0573372    R = 0.00088067
X = -0.26252    Y = -0.295344    R = 0.000880437
X = 0.136641    Y = -0.650606    R = 0.000879682
X = 0.731146    Y = -0.464493    R = 0.000875607
X = 0.315617    Y = -0.0280321    R = 0.00095789
X = -0.206198    Y = -0.769822    R = 0.000874913
X = -0.573474    Y = -0.601135    R = 0.000873373
X = -0.534664    Y = -0.245074    R = 0.000870521
X = 0.685186    Y = -0.726576    R = 0.000867681
X = 0.377549    Y = 0.779053    R = 0.000865253
X = 0.264454    Y = -0.36257    R = 0.00110468
X = -0.50737    Y = -0.00661522    R = 0.000864531
X = -0.720449    Y = -0.0972528    R = 0.0011778
X = -0.515578    Y = -0.775354    R = 0.000863804
X = -0.89707    Y = -0.0959978    R = 0.00094027
X = 0.586008    Y = 0.56638    R = 0.000862028
X = -0.963639    Y = -0.0794592    R = 0.000912118
X = 0.38992    Y = -0.452566    R = 0.000861645
X = 0.220923    Y = -0.213951    R = 0.00135547
X = -0.0846186    Y = -0.330052    R = 0.000856052
X = 0.253031    Y = -0.909903    R = 0.000855902
X = -0.964718    Y = -0.198159    R = 0.00085566
X = 0.538876    Y = -0.228277    R = 0.000850842
X = 0.0405918    Y = -0.827263    R = 0.000848006
X = 0.671286    Y = -0.26217    R = 0.000845861
X = 0.988187    Y = 0.137788    R = 0.000845051
X = -0.419348    Y = -0.166689    R = 0.000843528
X = -0.529779    Y = -0.492203    R = 0.000842963
X = 0.567287    Y = -0.712748    R = 0.000842226
X = -0.433101    Y = -0.0121354    R = 0.000840673
X = 0.385437    Y = 0.206268    R = 0.00105203
X = -0.318938    Y = -0.477765    R = 0.000835946
X = -0.113213    Y = -0.958504    R = 0.000835543
X = -0.0788584    Y = 0.304574    R = 0.000835516
X = -0.596326    Y = -0.52738    R = 0.000835309
X = 0.657904    Y = 0.345896    R = 0.000832688
X = 0.642542    Y = -0.391928    R = 0.000832527
X = -0.857105    Y = 0.268048    R = 0.000831561
X = -0.146879    Y = 0.70769    R = 0.000831343
X = -0.363534    Y = -0.149624    R = 0.000830948
X = 0.34397    Y = -0.271722    R = 0.000830085
X = 0.439483    Y = -0.795314    R = 0.000828287
X = -0.20987    Y = 0.429342    R = 0.000827122
X = 0.615685    Y = 0.0246663    R = 0.000823718
X = 0.0178691    Y = -0.297437    R = 0.000837924
X = 0.308174    Y = -0.163052    R = 0.000818901
X = -0.042536    Y = -0.284938    R = 0.000862891
X = -0.464119    Y = -0.12881    R = 0.000817759
X = -0.277264    Y = 0.0283941    R = 0.0011406
X = 0.919067    Y = -0.372647    R = 0.000810815
X = 0.138532    Y = 0.246835    R = 0.000810588
X = -0.219432    Y = 0.0831897    R = 0.00080847
X = -0.695666    Y = -0.016574    R = 0.000962239
X = 0.390699    Y = 0.0291271    R = 0.000807806
X = -0.752551    Y = -0.585077    R = 0.000807033
X = -0.624767    Y = 0.766471    R = 0.00080622
X = -0.393946    Y = -0.525796    R = 0.000805553
X = 0.738156    Y = -0.583686    R = 0.000804674
X = -0.158138    Y = 0.832098    R = 0.00080413
X = -0.913502    Y = 0.358823    R = 0.000802121
X = 0.731419    Y = 0.28391    R = 0.00121227
X = -0.306605    Y = 0.218623    R = 0.000801451
X = -0.657318    Y = -0.0684987    R = 0.000801253
X = 0.572025    Y = 0.332751    R = 0.000798454
X = -0.249609    Y = -0.71827    R = 0.000798
X = -0.726302    Y = -0.195138    R = 0.000797227
X = -0.266986    Y = -0.17346    R = 0.000796069
X = -0.64027    Y = -0.192517    R = 0.000795631
X = -0.384534    Y = 0.0542541    R = 0.000795099
X = -0.159273    Y = -0.154467    R = 0.000791598
X = -0.970581    Y = 0.198061    R = 0.000941756
X = 0.204154    Y = -0.882101    R = 0.000790482
X = 0.819686    Y = 0.353581    R = 0.00100257
X = -0.159865    Y = -0.654496    R = 0.000789572
X = -0.0319234    Y = 0.218181    R = 0.00078784
X = 0.876678    Y = -0.0715359    R = 0.000785801
X = 0.154858    Y = -0.215651    R = 0.000959286
X = -0.0155786    Y = 0.0978665    R = 0.000784207
X = 0.465913    Y = 0.321882    R = 0.00139198
X = 0.961342    Y = -0.145537    R = 0.00078389
X = 0.359136    Y = 0.110256    R = 0.000783076
X = 0.589304    Y = 0.644167    R = 0.000782821
X = -0.49455    Y = 0.158136    R = 0.00123119
X = 0.806386    Y = -0.443674    R = 0.000781031
X = 0.758381    Y = 0.338155    R = 0.000797924
X = -0.178948    Y = -0.235109    R = 0.000780084
X = 0.00825417    Y = -0.749625    R = 0.000780025
X = -0.00213063    Y = -0.222455    R = 0.000777171
X = 0.475846    Y = 0.478345    R = 0.000843725
X = -0.65402    Y = -0.253654    R = 0.00077416
X = 0.386296    Y = 0.39342    R = 0.00081036
X = 0.389917    Y = -0.203479    R = 0.000773639
X = -0.947078    Y = 0.299051    R = 0.000857633
X = 0.607216    Y = 0.106391    R = 0.00077271
X = 0.274441    Y = 0.057722    R = 0.000822806
X = 0.224448    Y = -0.504652    R = 0.000772512
X = 0.17101    Y = -0.157313    R = 0.000916049
X = -0.710919    Y = -0.442273    R = 0.000772491
X = 0.104684    Y = -0.163073    R = 0.00110807
X = 0.0285611    Y = 0.372879    R = 0.000771294
X = -0.1175    Y = 0.0304004    R = 0.00101899
X = -0.624349    Y = 0.0699505    R = 0.000770299
X = -0.57003    Y = 0.0194726    R = 0.00115172
X = 0.205886    Y = -0.00965345    R = 0.000769928
X = 0.788285    Y = 0.279815    R = 0.000769474
X = 0.688075    Y = -0.0625669    R = 0.00076933
X = 0.434734    Y = 0.168211    R = 0.000767736
X = -0.289706    Y = -0.848837    R = 0.000766745
X = -0.714435    Y = 0.698339    R = 0.000799604
X = 0.591845    Y = 0.206373    R = 0.000765854
X = -0.00240165    Y = -0.0688657    R = 0.000810752
X = 0.523674    Y = -0.428017    R = 0.000764749
X = -0.845093    Y = -0.404126    R = 0.000764695
X = -0.0667274    Y = -0.395217    R = 0.000764265
X = 0.191247    Y = -0.321649    R = 0.000758872
X = -0.232853    Y = -0.0131608    R = 0.00075601
X = -0.769906    Y = -0.00551951    R = 0.00133053
X = -0.491201    Y = -0.059113    R = 0.000754363
X = 0.162217    Y = 0.130844    R = 0.000963631
X = 0.296597    Y = -0.716712    R = 0.000754318
X = 0.0828682    Y = -0.0470887    R = 0.000824264
X = -0.103797    Y = -0.688163    R = 0.000753354
X = -0.849517    Y = -0.18888    R = 0.000752899
X = 0.391788    Y = -0.666082    R = 0.000750759
X = 0.0146273    Y = 0.0271457    R = 0.000757044
X = -0.680941    Y = -0.595873    R = 0.000745721
X = 0.124234    Y = -0.0105993    R = 0.000760647
X = -0.341192    Y = -0.735813    R = 0.000745508
X = 0.0696934    Y = 0.0641836    R = 0.000796574
X = 0.585783    Y = -0.790056    R = 0.000742966
X = -0.539254    Y = 0.514938    R = 0.000742672
X = 0.773473    Y = -0.0375264    R = 0.000740947
X = -0.317916    Y = -0.581926    R = 0.000740612
X = 0.267319    Y = -0.243725    R = 0.000740241
X = -0.527074    Y = 0.0684128    R = 0.00106011
X = 0.352297    Y = -0.838403    R = 0.000739593
X = -0.902605    Y = 0.184691    R = 0.00110722
X = 0.354735    Y = -0.739582    R = 0.000739199
X = -0.578072    Y = 0.259059    R = 0.00131399
X = -0.196463    Y = -0.0565048    R = 0.00073894
X = -0.575805    Y = 0.134253    R = 0.00100008
X = -0.413794    Y = -0.828252    R = 0.00073659
X = 0.219131    Y = -0.0672165    R = 0.000735682
X = -0.0614364    Y = -0.737663    R = 0.000735526
X = -0.341997    Y = -0.832954    R = 0.000734965
X = 0.301551    Y = -0.319693    R = 0.000733836
X = 0.119674    Y = 0.167709    R = 0.000792236
X = 0.200854    Y = 0.393505    R = 0.000733101
X = 0.37882    Y = 0.482766    R = 0.00100863
X = -0.350041    Y = 0.18632    R = 0.000732559
X = 0.125748    Y = -0.9632    R = 0.000731123
X = -0.453864    Y = 0.0881438    R = 0.00073092
X = 0.741178    Y = 0.437586    R = 0.000748466
X = 0.100069    Y = -0.109258    R = 0.00072936
X = -0.0483941    Y = 0.761532    R = 0.000729208
X = -0.847629    Y = -0.521596    R = 0.000728122
X = 0.714038    Y = -0.195351    R = 0.000727308
X = -0.558245    Y = 0.19523    R = 0.000726427
X = -0.151973    Y = 0.0887154    R = 0.0011453
X = -0.828544    Y = 0.00602174    R = 0.000724857
X = -0.751981    Y = 0.651301    R = 0.000905567
X = -0.32321    Y = -0.273172    R = 0.000724689
X = 0.790133    Y = 0.50104    R = 0.000724445
X = 0.229368    Y = -0.160094    R = 0.000724065
X = 0.662425    Y = 0.474806    R = 0.00108131
X = 0.068694    Y = -0.317034    R = 0.000723376
X = 0.501889    Y = 0.548787    R = 0.000825353
